"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Murtosa",0,0,0,0,0,0,0,0
"Oliveira do Bairro",2,2,2,2,2,2,2,2
"Ovar",4,4,4,4,4,4,4,4
"Sever do Vouga",0,0,0,1,1,2,2,1
"Vagos",1,1,1,1,1,1,1,1
"Arganil",0,0,0,0,0,0,0,0
"Cantanhede",5,5,5,6,6,6,6,6
"Coimbra",162,168,175,182,182,184,187,195
"Condeixa-a-Nova",4,4,4,4,4,4,4,4
"Figueira da Foz",13,13,12,12,11,11,10,10
"Góis",0,0,0,0,0,0,0,0
"Lousã",2,2,2,1,1,1,1,1
"Mealhada",0,0,0,0,0,0,0,0
"Mira",0,0,0,0,0,0,0,0
"Miranda do Corvo",0,0,0,0,0,0,0,0
"Montemor-o-Velho",0,0,0,0,0,0,0,0
"Mortágua",0,0,0,0,0,0,0,0
"Oliveira do Hospital",0,0,0,0,0,0,0,0
"Pampilhosa da Serra",0,0,0,0,0,0,0,0
"Penacova",0,0,1,1,1,1,2,2
"Penela",0,0,0,0,0,0,0,0
"Soure",1,2,2,2,2,2,2,2
"Tábua",0,0,0,0,0,0,0,0
"Vila Nova de Poiares",0,0,0,0,0,0,0,0
"Alvaiázere",1,1,1,1,1,1,1,1
"Ansião",0,0,0,0,0,0,0,0
"Batalha",1,1,1,1,1,1,1,1
"Castanheira de Pêra",0,0,0,0,0,0,0,0
"Figueiró dos Vinhos",0,0,0,0,0,0,0,0
"Leiria",17,18,18,17,18,18,18,16
"Marinha Grande",0,0,0,0,0,0,0,0
"Pedrógão Grande",0,0,0,0,0,0,0,0
"Pombal",0,0,0,0,0,0,0,0
"Porto de Mós",0,0,0,0,0,0,0,0
"Aguiar da Beira",0,0,0,0,0,0,0,0
"Carregal do Sal",0,0,0,0,0,0,0,0
"Castro Daire",0,0,0,0,0,0,0,0
"Mangualde",0,1,1,1,1,1,1,1
"Nelas",0,1,1,1,1,1,1,1
"Oliveira de Frades",0,0,0,0,0,0,0,0
"Penalva do Castelo",0,0,0,0,0,1,1,1
"Santa Comba Dão",1,1,1,1,1,1,1,1
"São Pedro do Sul",0,0,0,0,0,0,1,1
"Sátão",0,0,0,0,0,0,0,0
"Tondela",0,0,0,0,0,0,0,0
"Vila Nova de Paiva",0,0,0,0,0,0,0,0
"Viseu",26,25,25,27,29,30,33,35
"Vouzela",0,0,0,0,0,0,0,0
"Castelo Branco",6,6,5,4,4,5,5,5
"Idanha-a-Nova",0,0,0,0,0,0,0,0
"Oleiros",0,0,0,0,0,0,0,0
"Penamacor",0,0,0,0,0,0,0,0
"Proença-a-Nova",0,0,0,0,0,0,0,0
"Vila Velha de Ródão",0,0,0,0,0,0,0,0
"Abrantes",3,3,3,3,3,3,3,3
"Alcanena",0,0,0,0,0,0,0,0
"Constância",0,0,0,0,0,0,0,0
"Entroncamento",1,1,2,2,2,2,3,3
"Ferreira do Zêzere",0,0,0,0,0,0,0,0
"Mação",0,0,0,0,0,0,0,0
"Ourém",0,0,0,0,0,0,0,0
"Sardoal",0,0,0,0,0,0,0,0
"Sertã",0,0,0,0,0,0,0,0
"Tomar",3,3,3,3,3,3,2,2
"Torres Novas",2,2,1,1,1,1,1,1
"Vila de Rei",0,0,0,0,0,0,0,0
"Vila Nova da Barquinha",0,0,0,0,0,0,0,0
"Almeida",0,0,0,0,1,1,1,1
"Belmonte",0,0,0,0,0,0,0,0
"Celorico da Beira",0,0,0,0,0,0,0,0
"Covilhã",5,5,5,10,9,10,9,9
"Figueira de Castelo Rodrigo",0,0,0,0,0,0,0,0
"Fornos de Algodres",0,0,0,0,0,0,0,0
"Fundão",2,2,2,2,1,1,1,1
"Gouveia",0,0,0,0,0,0,0,0
"Guarda",6,5,4,5,5,5,5,5
"Manteigas",0,0,0,0,0,0,0,0
"Mêda",0,0,0,0,0,0,0,0
"Pinhel",0,0,0,0,0,0,0,0
"Sabugal",0,0,0,0,0,0,0,0
"Seia",1,1,1,1,1,1,1,1
"Trancoso",0,0,0,0,0,0,0,0
"Alcochete",2,2,2,2,2,2,3,3
"Almada",22,21,21,22,26,27,26,28
"Amadora",14,14,12,11,10,9,9,9
"Barreiro",3,3,3,3,3,4,4,4
"Cascais",32,34,37,38,38,40,42,42
"Lisboa",340,344,348,358,367,368,373,375
"Loures",30,30,29,29,24,24,23,23
"Mafra",5,5,5,6,7,7,7,6
"Moita",1,2,2,2,2,2,2,2
"Montijo",3,3,3,3,3,3,3,4
"Odivelas",13,13,13,15,16,16,15,18
"Oeiras",65,63,64,65,66,66,68,71
"Palmela",7,8,7,7,7,7,7,7
"Seixal",10,10,11,11,10,9,9,11
"Sesimbra",0,0,0,0,0,0,0,0
"Setúbal",11,12,12,12,12,13,12,12
"Sintra",15,15,18,19,19,18,19,21
"Vila Franca de Xira",4,4,4,4,6,6,6,5
"Alcácer do Sal",0,0,0,0,0,0,0,0
"Grândola",0,0,0,0,0,0,0,0
"Odemira",0,0,0,0,0,0,0,0
"Santiago do Cacém",1,1,1,1,1,1,1,1
"Sines",0,0,0,0,0,0,0,0
"Aljustrel",0,0,0,0,0,0,0,0
"Almodôvar",0,0,0,0,0,0,0,0
"Alvito",0,0,0,0,0,0,0,0
"Barrancos",0,0,0,0,0,0,0,0
"Beja",9,9,9,10,10,10,10,10
"Castro Verde",0,0,0,0,0,0,0,0
"Cuba",0,0,0,0,0,0,0,0
"Ferreira do Alentejo",0,0,0,0,0,0,0,0
"Mértola",0,0,0,0,0,0,0,0
"Moura",0,0,0,0,0,0,0,0
"Ourique",0,0,0,0,0,0,0,0
"Serpa",0,0,0,0,0,0,0,0
"Vidigueira",0,0,0,0,0,0,0,0
"Almeirim",1,1,1,1,1,1,1,1
"Alpiarça",1,1,1,1,1,1,1,1
"Azambuja",0,0,1,1,1,1,1,1
"Benavente",1,1,1,1,1,1,1,0
"Cartaxo",2,2,2,3,3,3,3,3
"Chamusca",0,0,0,0,0,0,0,0
"Coruche",1,1,1,1,1,1,1,1
"Golegã",0,0,0,0,0,0,0,0
"Rio Maior",1,1,1,1,1,1,1,1
"Salvaterra de Magos",0,0,0,0,0,0,0,0
"Santarém",14,15,14,14,14,13,15,16
"Alter do Chão",0,0,0,0,0,0,0,0
"Arronches",0,0,0,0,0,0,0,0
"Avis",0,0,0,0,0,0,0,0
"Campo Maior",3,3,3,3,3,4,4,4
"Castelo de Vide",0,0,0,0,0,0,0,0
"Crato",0,0,0,0,0,0,0,0
"Elvas",5,5,4,4,5,5,5,5
"Fronteira",0,0,0,0,0,0,0,0
"Gavião",0,0,0,0,0,0,0,0
"Marvão",0,0,0,0,0,0,0,0
"Monforte",0,0,0,0,0,0,0,0
"Nisa",0,0,0,0,0,0,0,0
"Ponte de Sor",0,0,0,0,0,0,0,0
"Portalegre",5,5,5,5,5,5,5,6
"Sousel",0,0,0,0,0,0,0,0
"Alandroal",0,0,0,0,0,0,0,0
"Arraiolos",0,0,0,0,0,0,0,0
"Borba",0,0,0,0,0,0,0,0
"Estremoz",0,0,0,0,0,0,0,0
"Évora",10,10,11,11,12,12,12,13
"Montemor-o-Novo",0,0,0,0,0,0,0,0
"Mora",0,0,0,0,0,0,0,0
"Mourão",0,0,0,0,0,0,0,0
"Portel",0,0,0,0,0,0,0,0
"Redondo",0,0,0,0,0,0,0,0
"Reguengos de Monsaraz",0,0,0,0,0,0,0,0
"Vendas Novas",0,0,0,0,0,0,0,0
"Viana do Alentejo",0,0,0,0,0,0,0,0
"Vila Viçosa",1,1,1,1,1,1,1,1
"Albufeira",1,1,1,1,1,1,2,2
"Alcoutim",0,0,0,0,0,0,0,0
"Aljezur",0,0,0,0,0,0,0,0
"Castro Marim",0,0,0,0,0,0,0,0
"Faro",32,33,36,36,36,38,38,37
"Lagoa",2,2,2,2,2,2,2,2
"Lagos",2,2,2,2,2,2,2,2
"Loulé",5,5,5,5,5,5,5,5
"Monchique",0,0,0,0,0,0,0,0
"Olhão",1,1,1,1,1,1,1,1
"Portimão",11,11,11,11,11,11,10,12
"São Brás de Alportel",0,0,0,0,0,0,0,0
"Silves",0,0,0,0,0,0,0,0
"Tavira",1,1,1,1,1,1,1,2
"Vila do Bispo",0,0,0,0,0,0,0,0
"Vila Real de Santo António",0,0,0,0,0,0,1,1
"Vila do Porto",0,0,0,0,0,0,0,0
"Lagoa [R.A.A.]",2,2,2,3,3,3,3,3
"Nordeste",0,0,0,0,0,0,0,0
"Ponta Delgada",10,11,12,13,13,13,13,13
"Povoação",0,0,0,0,0,0,0,0
"Ribeira Grande",0,0,0,0,0,0,0,0
"Vila Franca do Campo",0,0,0,0,0,0,0,0
"Angra do Heroísmo",7,7,8,7,6,6,7,8
"Vila da Praia da Vitória",0,0,0,0,1,1,1,1
"Santa Cruz da Graciosa",0,0,0,0,0,0,0,0
"Calheta [R.A.A.]",0,0,0,0,0,0,0,0
"Velas",0,0,0,0,0,0,0,0
"Lajes do Pico",0,0,0,0,0,0,0,0
"Madalena",0,0,0,0,0,0,0,0
"São Roque do Pico",0,0,0,0,0,0,0,0
"Horta",2,2,1,1,0,0,0,0
"Lajes das Flores",0,0,0,0,0,0,0,0
"Santa Cruz das Flores",0,0,0,0,0,0,0,0
"Corvo",0,0,0,0,0,0,0,0
"Calheta [R.A.M.]",0,0,0,0,0,0,0,0
"Câmara de Lobos",0,0,0,0,0,0,0,0
"Funchal",24,24,25,25,26,27,28,30
"Machico",1,0,0,0,1,0,0,0
"Ponta do Sol",0,0,0,0,0,0,0,0
"Porto Moniz",0,0,0,0,0,0,0,0
"Ribeira Brava",0,0,0,0,0,0,0,0
"Santa Cruz",1,2,2,2,2,3,3,4
"Santana",0,0,0,0,0,0,0,0
"São Vicente",0,0,0,0,0,0,0,0
"Porto Santo",0,0,0,0,0,0,0,0
