"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Alcobaça",3,3,3,3,3,3,3,3
"Alenquer",0,0,0,0,0,0,0,0
"Arruda dos Vinhos",1,1,1,1,2,2,2,2
"Bombarral",2,2,2,2,2,2,2,2
"Cadaval",0,0,0,0,0,0,0,0
"Caldas da Rainha",7,8,8,8,8,8,8,10
"Lourinhã",0,0,0,0,0,0,0,0
"Nazaré",0,0,0,0,0,0,0,0
"Óbidos",0,0,0,0,0,0,0,0
"Peniche",0,0,0,0,0,1,1,1
"Sobral de Monte Agraço",0,0,0,0,0,0,0,0
"Torres Vedras",5,5,5,5,4,4,5,5
"Águeda",3,3,3,3,3,3,4,5
"Albergaria-a-Velha",2,2,2,2,2,2,3,3
"Anadia",4,4,3,3,3,3,3,3
"Aveiro",14,16,16,17,17,17,17,18
"Estarreja",1,1,1,1,1,1,1,1
"Ílhavo",4,4,4,4,4,4,4,4
"Murtosa",0,0,0,1,1,1,0,0
"Oliveira do Bairro",0,0,0,0,0,0,0,0
"Ovar",6,6,7,8,8,8,9,12
"Sever do Vouga",0,0,0,0,0,0,0,0
"Vagos",1,2,2,2,2,2,2,2
"Arganil",0,0,0,0,0,0,0,0
"Cantanhede",2,2,3,3,3,3,3,3
"Coimbra",95,100,108,118,125,129,136,139
"Condeixa-a-Nova",3,3,3,3,3,3,3,3
"Figueira da Foz",5,5,6,8,8,8,8,8
"Góis",0,0,0,0,0,0,0,0
"Lousã",0,0,0,0,0,0,0,0
"Mealhada",1,2,2,2,2,1,2,2
"Mira",1,1,1,1,1,1,2,2
"Miranda do Corvo",0,0,0,0,0,0,0,1
"Montemor-o-Velho",2,2,2,2,2,2,2,2
"Mortágua",0,0,0,0,0,0,0,0
"Oliveira do Hospital",0,0,0,0,0,0,0,0
"Pampilhosa da Serra",0,0,0,0,0,0,0,0
"Penacova",0,0,0,0,0,0,0,0
"Penela",1,1,0,0,0,0,0,0
"Soure",0,0,0,0,0,0,0,0
"Tábua",0,0,0,0,0,0,0,0
"Vila Nova de Poiares",0,0,0,0,0,0,0,0
"Alvaiázere",0,0,0,0,0,0,0,0
"Ansião",0,0,0,0,0,0,0,0
"Batalha",0,0,0,0,0,0,0,0
"Castanheira de Pêra",0,0,0,0,0,0,0,0
"Figueiró dos Vinhos",0,0,0,0,0,0,0,0
"Leiria",22,22,23,23,24,24,24,24
"Marinha Grande",1,1,1,1,1,1,1,1
"Pedrógão Grande",0,0,0,0,0,0,0,0
"Pombal",0,0,0,1,1,1,1,1
"Porto de Mós",0,0,0,0,0,0,0,0
"Aguiar da Beira",0,0,0,0,0,0,0,0
"Carregal do Sal",0,0,0,0,0,0,0,0
"Castro Daire",0,0,0,0,0,0,0,0
"Mangualde",2,2,2,2,2,1,1,1
"Nelas",0,0,0,0,0,0,0,0
"Oliveira de Frades",0,0,0,0,0,0,1,1
"Penalva do Castelo",0,0,0,0,0,0,0,0
"Santa Comba Dão",0,0,0,0,0,0,1,1
"São Pedro do Sul",0,0,0,0,0,0,0,0
"Sátão",0,0,0,0,0,1,1,1
"Tondela",0,0,0,0,0,0,0,0
"Vila Nova de Paiva",0,0,0,0,0,0,0,0
"Viseu",19,18,19,19,20,21,22,25
"Vouzela",0,0,0,0,0,0,0,0
"Castelo Branco",11,11,12,12,13,13,12,12
"Idanha-a-Nova",0,0,0,0,0,0,0,0
"Oleiros",0,0,0,0,0,0,0,0
"Penamacor",0,0,0,0,0,0,0,0
"Proença-a-Nova",0,0,0,0,0,0,0,0
"Vila Velha de Ródão",1,1,1,1,1,1,1,1
"Abrantes",3,3,3,3,4,4,4,4
"Alcanena",0,0,0,0,0,0,0,0
"Constância",2,2,2,2,2,2,2,2
"Entroncamento",0,0,0,1,1,2,2,2
"Ferreira do Zêzere",0,0,0,0,0,0,0,0
"Mação",0,0,0,0,0,0,0,0
"Ourém",0,0,0,0,0,0,0,1
"Sardoal",0,0,0,0,0,0,0,0
"Sertã",0,0,0,0,0,0,0,0
"Tomar",3,3,2,2,2,3,3,3
"Torres Novas",2,2,2,2,2,2,2,2
"Vila de Rei",0,0,0,0,0,0,0,0
"Vila Nova da Barquinha",0,0,0,0,0,0,0,0
"Almeida",0,0,0,0,0,0,0,0
"Belmonte",0,0,0,0,0,0,0,0
"Celorico da Beira",0,0,0,0,0,0,0,0
"Covilhã",6,6,6,6,6,6,6,6
"Figueira de Castelo Rodrigo",1,1,1,1,1,1,1,1
"Fornos de Algodres",0,0,0,0,0,0,0,0
"Fundão",0,0,0,0,0,0,0,0
"Gouveia",0,0,0,0,0,0,0,0
"Guarda",6,6,8,7,7,7,7,9
"Manteigas",0,0,0,0,0,0,0,0
"Mêda",0,0,0,0,0,0,0,0
"Pinhel",0,0,0,0,0,0,0,0
"Sabugal",0,0,0,0,0,0,0,0
"Seia",1,2,2,2,2,3,3,3
"Trancoso",0,0,0,0,0,0,0,0
"Alcochete",2,3,3,3,3,4,4,4
"Almada",22,23,22,25,29,31,31,31
"Amadora",16,15,16,16,16,16,17,17
"Barreiro",9,9,9,9,8,8,8,9
"Cascais",50,54,55,60,61,63,67,70
"Lisboa",365,371,379,400,426,433,446,457
"Loures",33,32,35,39,34,36,36,38
"Mafra",2,2,2,2,2,2,2,1
"Moita",2,2,2,3,5,5,5,5
"Montijo",2,2,3,4,4,5,5,5
"Odivelas",11,11,14,16,17,17,18,18
"Oeiras",62,65,73,78,80,82,80,82
"Palmela",3,3,3,3,3,3,4,4
"Seixal",11,11,13,13,11,11,11,11
"Sesimbra",0,0,0,0,1,1,1,1
"Setúbal",20,20,21,22,23,25,27,27
"Sintra",20,20,20,22,21,23,23,24
"Vila Franca de Xira",7,7,7,9,9,8,8,8
"Alcácer do Sal",0,0,0,0,0,0,0,0
"Grândola",1,1,1,1,1,1,1,1
"Odemira",0,0,0,0,0,0,0,0
"Santiago do Cacém",1,1,1,0,0,0,0,1
"Sines",0,0,0,0,0,0,1,1
"Aljustrel",0,0,0,0,0,0,0,0
"Almodôvar",0,0,0,0,0,0,0,0
"Alvito",0,0,0,0,0,0,0,0
"Barrancos",0,0,0,0,0,0,0,0
"Beja",8,8,8,8,8,8,10,10
"Castro Verde",0,0,0,0,0,0,0,0
"Cuba",1,1,1,1,1,1,1,1
"Ferreira do Alentejo",0,0,0,0,0,0,0,0
"Mértola",0,0,0,0,0,0,0,0
"Moura",0,0,0,0,0,0,0,0
"Ourique",0,0,0,0,0,0,0,0
"Serpa",0,0,0,0,0,0,0,0
"Vidigueira",0,0,0,0,1,1,1,1
"Almeirim",3,3,3,4,4,4,4,4
"Alpiarça",0,0,0,0,0,0,0,0
"Azambuja",1,1,1,1,2,2,2,2
"Benavente",0,0,0,0,0,0,0,0
"Cartaxo",5,5,5,5,5,6,6,6
"Chamusca",0,0,0,0,0,0,0,0
"Coruche",0,0,0,0,0,0,0,0
"Golegã",0,0,0,0,0,0,0,0
"Rio Maior",2,2,2,2,2,2,2,2
"Salvaterra de Magos",0,0,0,0,0,0,0,0
"Santarém",5,5,4,6,6,6,6,6
"Alter do Chão",0,0,0,0,0,0,0,0
"Arronches",0,0,0,0,0,0,0,0
"Avis",0,0,0,0,0,0,0,0
"Campo Maior",2,2,2,2,2,2,2,2
"Castelo de Vide",1,1,1,1,1,1,1,1
"Crato",0,0,0,0,0,0,0,0
"Elvas",4,4,4,4,4,4,4,4
"Fronteira",0,0,0,0,0,0,0,0
"Gavião",0,0,0,0,0,0,0,0
"Marvão",0,0,0,0,0,0,0,0
"Monforte",0,0,0,0,0,0,0,0
"Nisa",1,1,1,1,1,1,1,1
"Ponte de Sor",0,0,0,0,0,0,0,0
"Portalegre",5,6,6,6,6,6,6,6
"Sousel",0,0,0,0,0,0,0,0
"Alandroal",0,0,0,0,0,0,0,0
"Arraiolos",0,0,0,0,0,0,0,0
"Borba",1,1,1,1,1,1,1,1
"Estremoz",0,0,0,0,0,0,0,0
"Évora",15,16,18,17,20,21,21,22
"Montemor-o-Novo",0,0,0,0,0,0,0,0
"Mora",0,0,0,0,0,0,0,0
"Mourão",0,0,0,0,0,0,0,0
"Portel",0,0,0,0,0,0,0,0
"Redondo",0,0,0,0,0,0,0,0
"Reguengos de Monsaraz",0,0,0,0,0,0,0,0
"Vendas Novas",0,0,0,0,0,0,0,0
"Viana do Alentejo",0,0,0,0,0,0,0,0
"Vila Viçosa",0,0,0,0,0,0,0,0
"Albufeira",2,2,3,3,3,3,3,3
"Alcoutim",0,0,0,0,0,0,0,0
"Aljezur",0,0,0,0,0,0,0,0
"Castro Marim",0,0,0,0,0,0,0,0
"Faro",22,21,22,26,26,27,30,29
"Lagoa",0,1,1,1,1,1,1,1
"Lagos",2,2,2,2,2,3,3,4
"Loulé",7,7,6,6,6,6,6,7
"Monchique",0,0,0,0,0,0,0,0
"Olhão",0,1,2,2,2,2,2,2
"Portimão",12,13,13,12,12,13,13,14
"São Brás de Alportel",1,1,2,2,2,2,2,2
"Silves",0,0,0,0,0,0,0,0
"Tavira",1,1,1,1,1,1,1,1
"Vila do Bispo",0,0,0,0,0,0,0,0
"Vila Real de Santo António",0,0,0,0,0,0,0,0
"Vila do Porto",0,0,0,0,0,0,0,1
"Lagoa [R.A.A.]",1,1,0,0,0,0,0,1
"Nordeste",0,0,0,0,0,0,0,0
"Ponta Delgada",12,12,13,14,14,16,17,16
"Povoação",0,0,0,0,0,0,0,0
"Ribeira Grande",1,1,1,1,1,1,1,2
"Vila Franca do Campo",0,0,0,0,0,0,0,0
"Angra do Heroísmo",4,5,5,6,6,6,6,6
"Vila da Praia da Vitória",0,0,1,1,2,2,1,1
"Santa Cruz da Graciosa",0,0,0,0,0,0,0,0
"Calheta [R.A.A.]",0,0,0,0,0,0,0,0
"Velas",0,0,0,0,0,0,0,0
"Lajes do Pico",0,0,0,0,0,0,0,0
"Madalena",0,0,0,0,0,0,0,0
"São Roque do Pico",0,0,0,0,0,0,0,0
"Horta",0,0,0,0,0,0,0,0
"Lajes das Flores",0,0,0,0,0,0,0,0
"Santa Cruz das Flores",0,0,0,0,0,0,0,0
"Corvo",0,0,0,0,0,0,0,0
"Calheta [R.A.M.]",0,0,0,0,0,0,0,0
"Câmara de Lobos",3,3,3,3,3,3,3,3
"Funchal",17,19,20,20,22,22,22,22
"Machico",0,0,0,0,2,2,2,2
"Ponta do Sol",0,0,0,0,0,0,0,0
"Porto Moniz",0,0,0,0,0,0,0,0
"Ribeira Brava",0,0,0,0,0,0,0,0
"Santa Cruz",3,4,5,5,5,5,5,5
"Santana",0,0,0,0,0,0,0,0
"São Vicente",0,0,0,0,0,0,0,0
"Porto Santo",0,0,0,0,0,0,0,0
