,2009,2010,2011,2012,2013,2014,2015,2016
Ponte de Sor,1,0,0,0,0,0,0,0
Portalegre,0,0,1,0,1,0,0,4
Sousel,0,0,0,0,1,0,0,0
Alandroal,0,0,0,1,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,1,0
Estremoz,1,0,0,1,0,0,0,1
Évora,2,2,1,1,3,0,3,3
Montemor-o-Novo,1,2,2,0,0,0,0,0
Mora,0,0,0,0,0,0,0,1
Mourão,0,0,0,0,0,0,0,1
Portel,0,0,0,1,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,1,0,0,0,1
Vendas Novas,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,2
Albufeira,2,3,2,2,1,1,0,2
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,1,0,0,0,0,0,0,0
Castro Marim,0,0,1,0,0,0,2,0
Faro,4,1,5,5,3,2,1,3
Lagoa,0,0,2,1,2,0,0,2
Lagos,1,0,1,2,1,1,2,1
Loulé,5,6,5,3,7,0,5,6
Monchique,0,0,0,0,0,0,0,0
Olhão,9,7,9,3,6,8,4,1
Portimão,5,1,3,3,5,4,6,3
São Brás de Alportel,1,1,1,0,0,0,0,0
Silves,2,2,1,0,1,2,0,0
Tavira,1,3,2,0,2,1,1,0
Vila do Bispo,0,0,0,0,2,0,0,0
Vila Real de Santo António,1,1,4,2,1,0,3,3
Vila do Porto,0,0,0,0,0,0,0,0
Lagoa [R.A.A.],1,1,0,0,0,0,0,0
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,3,0,2,1,1,1,2,1
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,1,0,0,0,0,0
Vila Franca do Campo,0,0,0,0,0,0,0,0
Angra do Heroísmo,2,4,1,1,1,0,1,0
Vila da Praia da Vitória,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
Calheta [R.A.A.],0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0
Horta,0,0,0,0,0,0,0,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Calheta [R.A.M.],0,0,1,0,0,0,1,0
Câmara de Lobos,0,0,0,1,0,0,0,3
Funchal,3,4,5,2,5,0,5,3
Machico,0,0,0,0,0,0,0,0
Ponta do Sol,0,0,1,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,1,0,0,2,0
Santa Cruz,1,0,0,2,0,0,0,0
Santana,0,0,0,0,0,0,1,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,0,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
 , , , , , , , , 
