"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Seia",11,11,11,13,13,13,13,14
"Trancoso",2,2,2,2,2,2,2,2
"Alcochete",3,3,2,2,2,2,1,3
"Almada",92,96,97,98,100,102,105,111
"Amadora",60,59,59,61,62,64,65,59
"Barreiro",43,44,45,46,50,51,53,51
"Cascais",134,135,134,139,143,150,153,158
"Lisboa",557,581,598,617,642,649,681,702
"Loures",77,79,82,84,80,81,85,87
"Mafra",15,19,18,18,18,19,21,21
"Moita",12,12,13,15,16,16,16,16
"Montijo",13,13,13,14,14,14,15,14
"Odivelas",40,43,45,49,49,51,57,55
"Oeiras",109,110,119,129,129,132,142,147
"Palmela",15,15,16,19,19,19,19,20
"Seixal",45,48,51,54,53,54,59,63
"Sesimbra",14,14,14,16,16,16,17,16
"Setúbal",65,65,67,70,78,80,80,83
"Sintra",82,82,83,83,88,94,97,101
"Vila Franca de Xira",27,28,29,29,32,32,34,35
"Alcácer do Sal",2,2,2,1,1,2,2,2
"Grândola",4,4,4,4,3,4,4,4
"Odemira",4,4,4,3,3,3,3,4
"Santiago do Cacém",10,10,11,13,14,14,14,14
"Sines",10,10,10,10,9,11,12,11
"Aljustrel",1,1,1,3,3,3,3,3
"Almodôvar",1,1,1,1,1,1,1,1
"Alvito",0,0,0,0,0,0,0,0
"Barrancos",1,0,0,0,0,0,0,0
"Beja",30,30,32,32,33,32,32,32
"Castro Verde",1,1,1,1,2,2,2,2
"Cuba",1,3,3,3,3,3,3,3
"Ferreira do Alentejo",4,4,4,4,4,3,3,3
"Mértola",2,2,2,2,2,2,2,2
"Moura",1,1,1,1,1,1,2,3
"Ourique",1,1,1,1,1,1,1,1
"Serpa",3,3,3,3,3,3,3,3
"Vidigueira",2,2,2,2,2,2,2,2
"Almeirim",11,11,11,11,11,11,11,10
"Alpiarça",2,2,2,1,0,0,0,0
"Azambuja",7,7,7,7,7,7,7,7
"Benavente",8,7,7,7,7,7,6,6
"Cartaxo",8,8,10,11,11,10,10,10
"Chamusca",0,0,0,0,2,2,2,2
"Coruche",8,8,8,8,8,8,9,9
"Golegã",2,2,2,2,2,1,1,1
"Rio Maior",6,6,7,7,7,7,7,7
"Salvaterra de Magos",3,3,3,3,4,5,5,5
"Santarém",47,47,45,47,48,50,52,54
"Alter do Chão",2,2,2,2,2,2,2,2
"Arronches",3,3,3,3,3,3,3,2
"Avis",2,2,2,2,2,2,2,2
"Campo Maior",3,4,6,6,6,6,6,5
"Castelo de Vide",0,0,0,0,0,0,0,0
"Crato",0,0,0,0,0,0,0,0
"Elvas",15,14,16,16,17,18,22,21
"Fronteira",3,3,3,3,3,3,3,3
"Gavião",1,1,1,1,1,1,1,1
"Marvão",2,2,2,3,3,3,3,3
"Monforte",1,1,1,1,1,1,1,1
"Nisa",3,3,3,3,3,2,2,3
"Ponte de Sor",8,8,8,7,7,7,8,8
"Portalegre",16,16,16,16,15,15,16,16
"Sousel",2,2,2,2,2,2,2,1
"Alandroal",0,0,1,1,1,1,1,2
"Arraiolos",1,1,1,1,1,1,1,0
"Borba",5,5,5,5,5,6,6,6
"Estremoz",4,4,4,4,4,4,4,5
"Évora",40,39,44,47,57,61,60,62
"Montemor-o-Novo",5,6,7,7,8,8,8,8
"Mora",1,1,1,1,1,1,1,1
"Mourão",1,1,1,1,1,1,1,1
"Portel",0,0,0,0,0,0,0,1
"Redondo",3,3,4,4,4,4,4,4
"Reguengos de Monsaraz",5,5,5,4,4,4,5,5
"Vendas Novas",2,2,2,2,2,2,2,2
"Viana do Alentejo",1,1,1,1,0,0,0,0
"Vila Viçosa",2,2,2,2,2,2,2,3
"Albufeira",9,10,10,12,13,13,13,13
"Alcoutim",1,1,1,2,2,2,2,2
"Aljezur",0,0,0,0,0,0,0,0
"Castro Marim",0,0,0,0,0,2,2,2
"Faro",46,46,48,54,63,68,71,72
"Lagoa",2,3,4,6,7,7,7,6
"Lagos",12,13,13,12,13,12,12,14
"Loulé",15,14,15,15,16,16,16,18
"Monchique",0,0,0,0,0,0,0,0
"Olhão",16,16,17,17,17,17,19,19
"Portimão",30,28,26,30,32,34,34,35
"São Brás de Alportel",2,2,2,4,4,4,5,5
"Silves",4,4,4,5,8,8,8,8
"Tavira",10,10,11,11,11,14,15,16
"Vila do Bispo",0,0,0,0,0,0,0,1
"Vila Real de Santo António",6,8,7,8,9,9,11,10
"Vila do Porto",2,3,2,2,2,3,3,3
"Lagoa [R.A.A.]",4,4,4,4,5,4,4,4
"Nordeste",1,1,1,1,1,1,1,1
"Ponta Delgada",20,22,23,27,28,26,29,31
"Povoação",4,4,4,4,4,4,4,4
"Ribeira Grande",2,2,3,4,4,4,4,4
"Vila Franca do Campo",0,0,0,0,0,0,0,0
"Angra do Heroísmo",6,6,7,8,8,8,8,12
"Vila da Praia da Vitória",3,3,3,4,4,4,7,8
"Santa Cruz da Graciosa",1,1,1,1,1,2,2,2
"Calheta [R.A.A.]",1,1,1,1,1,1,1,3
"Velas",2,2,2,3,3,3,3,3
"Lajes do Pico",1,1,1,1,1,1,1,1
"Madalena",2,2,2,2,2,2,2,2
"São Roque do Pico",4,4,4,4,4,4,5,5
"Horta",2,2,2,3,6,8,7,7
"Lajes das Flores",0,0,0,0,0,0,0,0
"Santa Cruz das Flores",0,0,0,0,0,0,0,0
"Corvo",0,0,0,0,0,0,0,0
"Calheta [R.A.M.]",3,3,3,3,4,4,4,3
"Câmara de Lobos",1,2,4,4,4,5,5,5
"Funchal",60,63,65,74,76,79,84,87
"Machico",4,4,4,5,5,5,5,6
"Ponta do Sol",0,0,0,0,0,0,1,1
"Porto Moniz",1,1,1,1,1,1,1,1
"Ribeira Brava",1,1,2,2,2,2,2,1
"Santa Cruz",18,19,19,20,20,21,22,22
"Santana",0,0,0,0,0,0,0,1
"São Vicente",0,0,0,0,0,0,0,0
"Porto Santo",2,1,1,1,1,2,2,2
