"Anos","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Montemor-o-Velho",0,0,0,0,1,1,2,1
"Mortágua",0,0,0,0,0,0,0,0
"Oliveira do Hospital",1,1,1,1,1,1,1,1
"Pampilhosa da Serra",0,0,0,0,0,0,0,0
"Penacova",0,0,0,0,0,0,0,0
"Penela",0,0,0,0,0,0,0,0
"Soure",0,0,0,0,0,0,0,0
"Tábua",0,0,0,0,0,0,0,0
"Vila Nova de Poiares",0,0,0,0,0,0,0,0
"Alvaiázere",0,0,0,0,0,0,0,0
"Ansião",0,0,0,0,0,0,0,0
"Batalha",0,0,0,0,0,0,0,0
"Castanheira de Pêra",0,0,0,0,0,0,0,0
"Figueiró dos Vinhos",0,0,0,0,0,0,0,0
"Leiria",18,17,16,17,18,19,20,20
"Marinha Grande",3,4,4,4,3,2,2,2
"Pedrógão Grande",0,0,0,0,0,0,0,0
"Pombal",2,3,3,3,3,3,3,3
"Porto de Mós",0,0,0,0,0,0,0,0
"Aguiar da Beira",0,0,0,0,0,0,0,0
"Carregal do Sal",0,0,0,0,0,0,0,0
"Castro Daire",0,0,0,0,0,0,0,0
"Mangualde",0,0,0,0,0,0,0,0
"Nelas",0,0,0,0,0,0,0,0
"Oliveira de Frades",0,0,0,0,0,0,0,0
"Penalva do Castelo",0,0,0,0,0,0,0,0
"Santa Comba Dão",0,0,0,0,0,0,0,0
"São Pedro do Sul",0,0,0,0,0,0,0,0
"Sátão",0,0,0,0,0,0,0,0
"Tondela",1,1,1,2,2,2,3,3
"Vila Nova de Paiva",0,0,0,0,0,0,0,0
"Viseu",23,23,24,27,27,28,30,31
"Vouzela",0,0,0,0,0,0,0,0
"Castelo Branco",10,10,11,12,13,15,15,13
"Idanha-a-Nova",0,0,0,0,0,0,0,0
"Oleiros",0,0,0,0,0,0,0,0
"Penamacor",1,1,1,1,1,1,1,1
"Proença-a-Nova",0,0,0,0,0,0,0,0
"Vila Velha de Ródão",0,0,0,0,0,0,0,0
"Abrantes",5,5,5,5,4,4,4,4
"Alcanena",0,0,0,0,0,0,0,0
"Constância",0,0,0,0,0,0,0,0
"Entroncamento",0,0,0,1,2,2,2,2
"Ferreira do Zêzere",0,0,0,0,0,0,0,0
"Mação",0,0,0,0,0,0,0,0
"Ourém",1,2,2,2,2,2,2,2
"Sardoal",0,0,0,0,0,0,0,0
"Sertã",0,0,0,0,0,0,0,0
"Tomar",7,7,7,7,7,8,7,7
"Torres Novas",3,3,3,2,2,2,2,2
"Vila de Rei",0,0,0,0,0,0,0,0
"Vila Nova da Barquinha",0,0,0,0,0,0,0,0
"Almeida",0,0,0,0,0,0,0,0
"Belmonte",0,0,0,0,0,0,0,0
"Celorico da Beira",0,0,0,0,0,0,0,0
"Covilhã",3,3,3,2,2,3,3,4
"Figueira de Castelo Rodrigo",0,0,0,0,0,0,0,0
"Fornos de Algodres",0,0,0,0,0,0,0,0
"Fundão",2,2,2,2,2,2,2,2
"Gouveia",0,0,0,0,0,0,1,1
"Guarda",9,10,10,10,10,10,11,10
"Manteigas",0,0,0,0,0,0,0,0
"Mêda",0,0,0,0,0,0,0,0
"Pinhel",0,0,0,0,0,0,0,0
"Sabugal",0,0,0,0,0,0,0,0
"Seia",0,0,0,0,0,0,0,1
"Trancoso",0,0,0,0,0,0,0,0
"Alcochete",1,1,2,2,3,4,5,5
"Almada",10,10,10,11,12,12,12,12
"Amadora",21,20,20,22,22,22,21,21
"Barreiro",13,14,13,15,15,15,14,15
"Cascais",66,68,68,71,75,74,73,71
"Lisboa",317,312,317,308,314,321,325,332
"Loures",25,25,24,28,21,19,19,18
"Mafra",7,7,8,8,8,7,7,7
"Moita",1,1,1,1,1,1,1,1
"Montijo",4,5,5,5,4,4,4,4
"Odivelas",11,11,10,11,11,12,11,10
"Oeiras",64,62,64,65,66,64,64,66
"Palmela",0,1,1,1,1,1,2,2
"Seixal",5,6,7,7,7,7,8,8
"Sesimbra",0,0,0,0,0,0,0,0
"Setúbal",27,26,29,28,30,30,30,31
"Sintra",22,24,23,24,27,26,25,24
"Vila Franca de Xira",8,8,8,9,10,10,9,9
"Alcácer do Sal",0,0,0,0,0,0,0,0
"Grândola",0,0,0,1,1,1,1,1
"Odemira",1,1,1,1,1,1,1,1
"Santiago do Cacém",3,3,3,3,3,3,3,5
"Sines",0,0,0,0,0,0,0,0
"Aljustrel",1,1,1,1,1,1,1,1
"Almodôvar",0,0,0,0,0,0,0,0
"Alvito",0,0,0,0,0,0,0,0
"Barrancos",0,0,0,0,0,0,0,0
"Beja",11,11,11,13,13,13,13,15
"Castro Verde",0,0,0,0,0,0,0,0
"Cuba",0,0,0,0,0,0,0,0
"Ferreira do Alentejo",0,0,0,0,0,0,0,0
"Mértola",0,0,0,0,0,0,0,0
"Moura",0,0,0,0,0,0,0,0
"Ourique",0,0,0,0,0,0,0,0
"Serpa",0,0,0,0,0,0,0,0
"Vidigueira",0,0,0,0,0,0,0,0
"Almeirim",1,1,1,1,1,1,1,2
"Alpiarça",0,0,1,0,0,0,0,0
"Azambuja",0,0,0,0,0,0,0,0
"Benavente",2,2,2,2,1,1,2,2
"Cartaxo",0,0,0,0,0,0,0,0
"Chamusca",0,0,0,0,0,0,0,0
"Coruche",0,0,0,0,0,0,0,0
"Golegã",2,1,1,1,1,1,1,1
"Rio Maior",0,0,0,0,0,0,0,0
"Salvaterra de Magos",0,0,0,0,0,0,0,0
"Santarém",14,14,14,14,15,15,15,16
"Alter do Chão",0,0,0,0,0,0,0,0
"Arronches",0,0,0,0,0,0,0,0
"Avis",0,0,0,0,0,0,0,0
"Campo Maior",0,0,0,0,1,1,2,2
"Castelo de Vide",0,0,0,0,0,1,1,1
"Crato",0,0,0,0,0,0,0,0
"Elvas",5,5,5,5,5,5,5,6
"Fronteira",0,0,0,0,0,0,0,0
"Gavião",0,0,0,0,0,0,0,0
"Marvão",0,0,0,0,0,0,0,0
"Monforte",0,0,0,0,0,0,0,0
"Nisa",0,0,0,0,0,0,0,0
"Ponte de Sor",0,0,0,0,0,0,0,0
"Portalegre",10,10,9,10,10,9,10,9
"Sousel",0,0,0,0,0,0,0,0
"Alandroal",0,0,0,0,1,1,1,1
"Arraiolos",0,0,0,0,0,0,0,0
"Borba",0,0,0,0,0,0,0,0
"Estremoz",0,0,0,0,0,0,0,0
"Évora",10,11,14,14,15,17,17,17
"Montemor-o-Novo",0,0,0,1,0,0,0,0
"Mora",0,0,0,0,0,0,0,0
"Mourão",0,0,0,0,0,0,0,0
"Portel",0,0,0,0,0,0,0,0
"Redondo",0,0,0,0,0,0,0,0
"Reguengos de Monsaraz",1,1,1,1,1,1,1,1
"Vendas Novas",0,0,0,0,0,0,0,0
"Viana do Alentejo",0,0,0,0,0,0,0,0
"Vila Viçosa",0,0,0,0,0,0,0,0
"Albufeira",1,1,1,1,1,1,1,1
"Alcoutim",0,0,0,0,0,1,1,1
"Aljezur",0,0,0,0,0,0,0,0
"Castro Marim",0,0,0,0,0,0,0,0
"Faro",19,20,20,20,23,24,24,24
"Lagoa",1,0,0,0,0,1,1,1
"Lagos",7,7,7,7,7,7,6,6
"Loulé",3,3,3,2,5,5,5,5
"Monchique",0,0,0,0,0,0,0,0
"Olhão",1,1,1,1,3,3,3,3
"Portimão",9,14,14,14,14,13,14,17
"São Brás de Alportel",0,0,0,0,0,0,0,0
"Silves",1,2,2,2,2,2,2,2
"Tavira",1,1,1,1,1,1,1,1
"Vila do Bispo",0,0,0,0,0,0,0,0
"Vila Real de Santo António",1,1,1,1,1,1,1,1
"Vila do Porto",0,0,0,0,0,0,0,0
"Lagoa [R.A.A.]",0,0,0,0,0,0,0,0
"Nordeste",0,0,0,0,0,0,0,0
"Ponta Delgada",9,9,10,13,13,13,13,13
"Povoação",0,0,0,0,0,0,0,0
"Ribeira Grande",2,2,1,2,2,2,2,2
"Vila Franca do Campo",0,0,0,0,0,0,0,0
"Angra do Heroísmo",5,5,5,4,4,4,4,4
"Vila da Praia da Vitória",0,0,0,0,0,0,0,0
"Santa Cruz da Graciosa",0,0,0,0,0,0,0,0
"Calheta [R.A.A.]",0,0,0,0,0,0,0,0
"Velas",0,0,0,0,0,0,0,0
"Lajes do Pico",0,0,0,0,0,0,0,0
"Madalena",0,0,0,0,0,0,0,0
"São Roque do Pico",0,0,0,1,1,1,0,0
"Horta",2,2,2,2,2,2,3,3
"Lajes das Flores",0,0,0,0,0,0,0,0
"Santa Cruz das Flores",0,0,0,0,0,0,0,0
"Corvo",0,0,0,0,0,0,0,0
"Calheta [R.A.M.]",0,0,0,0,0,0,0,0
"Câmara de Lobos",0,0,0,0,0,0,0,0
"Funchal",22,27,27,29,29,29,31,29
"Machico",0,0,0,0,0,0,0,0
"Ponta do Sol",0,0,0,0,0,0,0,0
"Porto Moniz",0,0,0,0,0,0,0,0
"Ribeira Brava",0,0,0,0,0,0,0,0
"Santa Cruz",6,5,5,5,5,5,5,5
"Santana",0,0,0,0,0,0,0,0
"São Vicente",0,0,0,0,0,0,0,0
"Porto Santo",0,0,0,0,0,0,0,0
